Count,Year,JD,mm-dd,HR MIN,PPFD_in,PPFD^2,TA,TA^2,PPFD.x.TA,RH,WS,WD,P,kPa,Vol W C ,Soil T,G,RAD,NETRAD,Sonic T,USTAR,FC,SC,NEE,CO2,  H,  LE
94,2018,2,2-Jan,2200,0,0,-9.37,87.8,0,61.3,1.79,223.4,0,102.6,0.053,1.72,-10.7,0,-63.98,-8.44,0.259,0.191,0.683,-0.491,422.19,-25.602,-0.766
95,2018,2,2-Jan,2230,0,0,-9.67,93.5,0,62.4,1.77,229.3,0,102.6,0.053,1.71,-10.77,0,-62.92,-8.74,0.223,0.106,-0.046,0.152,421.81,-19.143,-0.23
96,2018,2,2-Jan,2300,0,0,-10.05,101.0,0,63.9,2.18,235.1,0,102.6,0.052,1.7,-10.85,0,-63.36,-9.09,0.261,0.082,-0.347,0.429,421.93,-29.604,-0.862
97,2018,2,2-Jan,2330,0,0,-10.11,102.2,0,64.3,2.34,213.8,0,102.6,0.052,1.7,-10.92,0,-65.3,-9.18,0.309,1.568,0.49,1.079,420.8,-29.125,0.397
98,2018,2,2-Jan,2400,0,0,-10.23,104.7,0,64.5,2.09,224.3,0,102.5,0.052,1.69,-11,0,-65.44,-9.35,0.26,0.27,0.209,0.061,420.17,-22.885,-0.175
99,2018,3,3-Jan,30,0,0,-11.02,121.4,0,67.7,1.56,210.9,0,102.6,0.052,1.68,-11.08,0,-64.23,-10.16,0.193,0.198,-0.813,,420.61,-19.077,-0.289
100,2018,3,3-Jan,100,0,0,-11.45,131.1,0,69.5,1.79,246.6,0,102.5,0.052,1.66,-11.17,0,-62.88,-10.47,0.218,0.215,-0.491,0.706,420.94,-22.778,0.41
101,2018,3,3-Jan,130,0,0,-11.33,128.4,0,69.6,1.9,223.9,0,102.5,0.052,1.65,-11.24,0,-63.28,-10.37,0.218,0.131,0.004,0.127,421.13,-21.181,-0.331
102,2018,3,3-Jan,200,0,0,-11.56,133.6,0,71,1.53,247,0,102.5,0.052,1.64,-11.33,0,-60.72,-10.57,0.173,0.1,-0.43,,421.66,-17.533,-0.109
103,2018,3,3-Jan,230,0,0,-11.91,141.8,0,72.8,1.33,223.3,0,102.5,0.052,1.62,-11.42,0,-58.73,-10.92,0.131,-0.098,-0.506,,422.15,-8.78,0.173
104,2018,3,3-Jan,300,0,0,-11.9,141.6,0,73.3,1.8,228.2,0,102.5,0.052,1.61,-11.51,0,-59.94,-10.8,0.191,0.104,-0.301,,422.79,-19.545,0.396
105,2018,3,3-Jan,330,0,0,-11.37,129.3,0,72.6,1.89,237.7,0,102.5,0.052,1.59,-11.6,0,-59.79,-10.24,0.2,-0.057,0.391,-0.448,422.83,-20.519,-0.041
106,2018,3,3-Jan,400,0,0,-11.32,128.1,0,72.9,1.45,236.1,0,102.5,0.052,1.57,-11.69,0,-58.45,-10.29,0.129,-0.213,-0.658,,424.29,-13.434,0.228
107,2018,3,3-Jan,430,0,0,-11.68,136.4,0,74.7,1.46,225.3,0,102.5,0.052,1.56,-11.77,0,-56.96,-10.59,0.116,-0.134,-1.127,,426.06,-11.287,0.065
108,2018,3,3-Jan,500,0,0,-11.79,139.0,0,75.6,1.58,238.4,0,102.5,0.052,1.54,-11.85,0,-54.54,-10.65,0.147,-0.917,-0.978,,427.92,-17.773,0.284
109,2018,3,3-Jan,530,0,0,-11.81,139.5,0,75.8,1.37,231.5,0,102.5,0.051,1.52,-11.92,0,-56.08,-10.7,0.109,-0.035,-1.402,,430.81,-11.724,1.319
110,2018,3,3-Jan,600,0,0,-12.16,147.9,0,76.5,1.42,253.2,0,102.5,0.051,1.5,-11.98,0,-55.01,-10.84,0.119,-0.054,-1.873,,434.13,-13.061,0.753
111,2018,3,3-Jan,630,-0.1,0,-12.38,153.3,1.238,75.6,0.94,216.5,0,102.5,0.051,1.48,-12.05,-0.1,-53.34,-10.89,0.053,0.171,-1.269,,436.41,2,1.126
112,2018,3,3-Jan,700,-0.2,0,-13.43,180.4,2.686,78.5,1.13,209.4,0,102.5,0.051,1.46,-12.11,-0.2,-53.09,-11.98,0.062,-0.092,-0.605,,435.9,-5.515,-0.303
113,2018,3,3-Jan,730,-0.4,0,-14.12,199.4,5.648,80.4,0.87,202.6,0,102.5,0.051,1.44,-12.16,-0.3,-52.85,-12.49,0.058,-0.049,-0.644,,436.07,-4.824,-0.014
114,2018,3,3-Jan,800,-0.1,0,-14.24,202.8,1.424,81.8,0.46,276.3,0,102.5,0.051,1.42,-12.22,-0.1,-51.36,-12.1,0.025,0.084,0.149,,435.56,2.056,-0.542
115,2018,3,3-Jan,830,8.8,77,-13.7,187.7,-120.56,79.8,0.66,276.4,0,102.5,0.051,1.4,-12.28,4.3,-46.16,-11.65,0.028,-0.009,-0.191,,436.87,-0.595,1.344
116,2018,3,3-Jan,900,76.1,5791,-14.83,219.9,-1128.563,83.7,0.49,260.6,0,102.5,0.051,1.38,-12.35,44.6,-22.59,-11.95,0.03,0.291,-1.127,,437.29,1.751,3.213
117,2018,3,3-Jan,930,220.6,48664,-12.58,158.3,-2775.148,73.8,0.68,175.4,0,102.4,0.051,1.37,-12.4,123.6,23.55,-11.02,0.022,-0.032,0.028,,441.04,0.531,0.448
118,2018,3,3-Jan,1000,343.9,118267,-10.41,108.4,-3579.999,62.6,0.41,175.4,0,102.3,0.051,1.35,-12.44,187,64.82,-9.67,0.05,-0.519,0.285,,444.12,-3.753,8.449
119,2018,3,3-Jan,1030,472.4,223162,-8.62,74.3,-4072.088,55.2,0.65,263.4,0,102.3,0.052,1.34,-12.45,245.5,104.9,-7.75,0.239,1.974,3.122,-1.148,440.56,33.92,22.397
120,2018,3,3-Jan,1100,598.5,358202,-7.55,57.0,-4518.675,46.5,1.29,271.9,0,102.2,0.053,1.34,-12.4,302.1,152.4,-6.68,0.372,6.208,6.618,-0.409,428.32,98.354,30.976
121,2018,3,3-Jan,1130,738,544644,-6.45,41.6,-4760.1,38.8,1.02,299,0,102.1,0.053,1.34,-12.29,376,209.7,-5.56,0.305,1.236,3.679,-2.443,422.26,115.172,26.369
122,2018,3,3-Jan,1200,797,635209,-5.5,30.3,-4383.5,34.2,0.48,240.1,0,102,0.053,1.33,-12.14,430.7,235.2,-4.75,0.176,3.114,1.055,,421.51,159.291,51.24
123,2018,3,3-Jan,1230,836,698896,-4.36,19.0,-3644.96,31,0.61,288.5,0,101.9,0.053,1.34,-11.99,454,283.5,-3.75,0.412,4.81,1.497,3.313,420.11,257.724,75.47
124,2018,3,3-Jan,1300,788,620944,-3.65,13.3,-2876.2,27.2,0.34,55.9,0,101.9,0.053,1.35,-11.87,420,241.9,-3.06,0.159,0.07,1.725,,417.5,157.907,32.646
125,2018,3,3-Jan,1330,690.3,476514,-2.99,8.9,-2063.997,25,0.7,58.1,0,101.8,0.053,1.35,-11.75,362.4,202.2,-2.37,0.23,0.449,0.687,-0.238,417.05,179.461,40.04
126,2018,3,3-Jan,1400,842,708964,-2.15,4.6,-1810.3,24.2,0.74,49,0,101.8,0.053,1.36,-11.63,452.1,274.2,-1.7,0.181,0.824,0.14,,418.04,135.459,40.56
127,2018,3,3-Jan,1430,754,568516,-1.43,2.0,-1078.22,21.3,0.73,48.7,0,101.9,0.053,1.36,-11.5,403,232.8,-0.87,0.299,2.044,1.019,1.026,416.94,177.969,43.67
128,2018,3,3-Jan,1500,764,583696,-1.02,1.0,-779.28,20.4,0.94,222.8,0,101.9,0.053,1.37,-11.36,417.3,229.3,-0.4,0.192,0.534,0.591,,416.29,98.442,19.986
129,2018,3,3-Jan,1530,659.6,435072,-0.08,0.0,-52.768,19.8,0.88,255.9,0,101.9,0.053,1.38,-11.22,364.4,181.2,0.48,0.428,1.312,1.044,0.268,415.46,132.993,25.853
130,2018,3,3-Jan,1600,489.4,239512,0.22,0.0,107.668,17.2,1.71,75.5,0,101.8,0.053,1.39,-11.1,271.3,111.9,0.63,0.277,2.297,1.223,1.074,413.23,59.849,23.931
131,2018,3,3-Jan,1630,369.5,136530,0.43,0.2,158.885,15.1,1.23,181.5,0,101.8,0.053,1.39,-10.96,213.9,56.72,0.84,0.315,0.084,1.009,-0.924,411.35,51.35,9.367
132,2018,3,3-Jan,1700,213.9,45753,0.42,0.2,89.838,15.1,1.64,195.7,0,101.8,0.053,1.4,-10.82,134.5,1.39,0.73,0.362,0.381,-0.036,0.417,411.41,21.047,6.006
133,2018,3,3-Jan,1730,63,3969,-0.97,0.9,-61.11,25.4,1.74,150.1,0,101.8,0.053,1.41,-10.7,32,-57.51,-0.66,0.272,-0.352,-3.132,2.78,416.13,-7.142,-1.819
