Count,,Year,JD,HR MIN,,RAD,NETRAD,PPFD_in,TA,RH,WS,WD,P,kPa,,Vol W C ,Soil T,G,,Sonic T,USTAR,,FC,SC,NEE,CO2,,  H,  LE
141,,2018,3,2130,,0,-15.83,0,-4.87,43.7,1.07,101.6,0,101.3,,0.053,1.48,-10.02,,-3.99,0.137,,-0.188,0.083,,419.55,,-8.772,-4.963
142,,2018,3,2200,,0,-10.08,0,-4.69,46.3,1.26,22,0,101.2,,0.053,1.49,-10,,-4.01,0.204,,0.856,0.318,0.538,419.15,,-4.303,-1.139
143,,2018,3,2230,,0,-7.86,0,-5.07,47.9,1.45,44.8,0,101.1,,0.053,1.5,-9.97,,-4.3,0.195,,0.56,-1.12,,420.95,,-6.286,-1.235
144,,2018,3,2300,,0,-5.59,0,-4.83,49.5,0.9,29.8,0,101,,0.053,1.51,-9.95,,-3.99,0.12,,0.155,-0.057,,421.44,,-2.184,0.272
145,,2018,3,2330,,0,-3.93,0,-4.6,51.3,1.04,4.2,0,100.9,,0.053,1.51,-9.92,,-3.72,0.184,,1.202,0.122,,421.55,,-6.811,0.28
146,,2018,3,2400,,-0.1,-3.2,0,-4.12,52.8,1.55,324.7,0,100.8,,0.053,1.52,-9.89,,-3.19,0.21,,0.618,0.371,0.247,421.5,,-6.194,1.645
147,,2018,4,30,,-0.1,-4.76,0,-3.82,55,1.41,313.4,0,100.7,,0.053,1.53,-9.85,,-2.98,0.313,,0.941,-0.71,1.652,423.5,,-15.525,-2.404
148,,2018,4,100,,-0.1,-9.28,0,-3.53,57.1,1.74,41.3,0,100.6,,0.053,1.53,-9.82,,-2.69,0.289,,0.848,0.498,0.35,422.88,,-11.836,1.688
149,,2018,4,130,,-0.2,-9.01,0,-3.37,58.3,1.83,16,0,100.5,,0.053,1.54,-9.78,,-2.53,0.381,,0.507,-0.259,0.766,423.7,,-13.472,3.595
150,,2018,4,200,,-0.2,-5.82,0,-3.14,60.9,2.21,16,0,100.4,,0.053,1.55,-9.74,,-2.28,0.52,,-10.887,-2.111,-8.776,428.61,,-26.658,-42.781
151,,2018,4,230,,-0.2,-3.01,0,-2.84,64.2,2.63,40.2,0,100.2,,0.053,1.55,-9.7,,-1.95,0.602,,5.023,-3.725,8.748,437.12,,-3.382,8.195
152,,2018,4,300,,-0.2,-4.21,0,-2.61,63.7,3.08,354.8,0,100.1,,0.053,1.56,-9.67,,-1.82,0.687,,0.168,-3.391,3.56,444.8,,-9.049,3.652
153,,2018,4,330,,-0.2,-3.91,0,-2.71,63.5,3.09,27.7,0,100,,0.053,1.57,-9.63,,-2.03,0.644,,4.305,-8.785,13.089,463.6,,-5.771,-1.766
154,,2018,4,400,,-0.2,-4.61,0,-3.11,64.7,3.06,346.7,0,99.9,,0.053,1.57,-9.6,,-2.55,0.759,,1.105,-3.922,5.027,471.36,,-14.931,10.011
155,,2018,4,430,,-0.1,-5.44,0,-3.72,66.9,3.34,0,0,99.9,,0.053,1.58,-9.56,,-3.06,0.784,,-4.933,3.131,-8.064,463.57,,-18.745,16.076
156,,2018,4,500,,0,-5.5,0,-4.16,70.6,3.82,6.9,0,99.8,,0.053,1.59,-9.53,,-3.52,0.983,,-5.056,10.147,-15.203,441.03,,-35.095,-14.963
